Data,Estação 1,Estação 2
1969-12-31,15.388010958904097,161.6380239520959
1970-12-31,17.930775342465708,299.9634146341463
1971-12-31,14.85628219178082,353.446301369863
1972-12-31,19.681265027322386,423.7103825136612
1973-12-31,25.008358904109553,398.73041095890414
1974-12-31,18.97552054794521,455.82191780821915
1975-12-31,18.481901369863003,297.2106849315068
1976-12-31,23.335650273224022,512.2234972677595
1977-12-31,19.221476712328784,324.5531506849315
1978-12-31,11.9434410958904,303.0323287671233
1979-12-31,19.17512602739727,149.05095890410965
1980-12-31,17.63093989071037,316.68224043715844
1981-12-31,17.75271232876712,135.91333333333336
